Lead Name,Contact Number,Email,Business Type,Lead Source,Date First Contacted,Current Situation / Remarks,Lead Status,Priority,Next Follow-up Date
Euro School,9801836581,,School,Vacancy,7/24/2026,"Proposal sent, waiting for reply",Negotiating,High,need to call back
Samaya rooftop garden,01-4701566,,Restaurant,Coldcall,,,not priority,Low,
4stories,9808790813,,Restaurant,Coldcall,,,not priority,Low,
Forest and Plate,01-4701161,,Restaurant,Coldcall,,,not priority,Low,
Cafe Mitra,01-5356336,,Restaurant,Coldcall,,,not priority,Low,
T3_Thakali,9851412999,,Restaurant,Vacancy,7/24/2026,"Proposal sent, waiting for reply",Negotiating,High,Follow up friday
smartacademystudyabroad,9868295462,,Consultancy,Vacancy,,,To call,High,need to follow up
Educational Hub,9761846599,,Consultancy,Vacancy,,,To call,High,
mad over pizza np,01-4501500,,Restaurant,Vacancy,,,To call,High,follow up
crownedunepal,01-5404005,,Consultancy,Vacancy,,,Negotiating,High,already have employee
rcc_np/ humanfit,9840004449,,Clothing,Vacancy,7/24/2026,"To send proposal,set up meeting",Negotiating,High,call sunday
crownedunepal,01-4601657,,Consultancy,Vacancy,,,Negotiating,High,
Karyanirman_construction,9801304000,,Other business,Vacancy,7/31/2026,called no reply,waiting response,Urgent,
bunglow maker,985-1452555,,Other business,Vacancy,7/25/2026,waiting for confirmation,Negotiating,Urgent,8/2/2026
afno bazzar,9715909001,careers@afnobazzar.com,Other business,Vacancy,,,Negotiating,Urgent,
vision and value,9767659392,,Consultancy,Vacancy,,,not priority,Urgent,make contract and send
naturesmud,9713888002,naturesmud@gmail.com,Other business,Vacancy,,Food business,Negotiating,High,will see the proposal
bj boots,9851349621,,Clothing,Vacancy,,,Negotiating,High,call today at 5
chimesbyfeels,9849402454,,Restaurant,Vacancy,,,not priority,Low,
glossybeautycenter,9851057291,,Other business,Vacancy,,,Negotiating,High,
H2O,9768527596,cafenpub.hrteam@,Restaurant,Vacancy,,,No deal,High,
Beyond Trend,+977-9823533554,beyondtrend019@gmail.com,Clothing,Vacancy,,to send workflow,Negotiating,High,whatsapp conversation
GoMyGo Bookings,9704-555-111,hr@gomygo.com,Other business,Vacancy,7/31/2026,"Video Editor; Content Creator; turn",waiting response,High,is reviewing proposal
doorstepsnepal,9851407707,,Other business,Vacancy,,,To call,High,
prime path education,9705414369,,Consultancy,Vacancy,,,Negotiating,High,need to go office
secura_nepal,9805607855,,Other business,Vacancy,,medical supply stores,waiting response,High,call tmrw at 1
kick lifestyle,9705700702,,Other business,Vacancy,,"accessories, electronic",To call,High,
kc travels,9805064839,,Consultancy,Vacancy,,,To call,High,
Creating Opportunities Inter,980-8068870,,Other business,Vacancy,,Youth Organization,not priority,High,
club_fitbeing,9848943417,,Other business,Vacancy,,gym,Negotiating,Urgent,send trial videos
swetaacharyaofficial,,askswetaa@gmail.com,Other business,Vacancy,,weeding,not priority,Low,
keren .nepal,9851431644,,Other business,Vacancy,,motors,To call,High,
usaselfapplycenter,9761642348,,Consultancy,Vacancy,,,To call,High,send proposal in email
